Date,Store_ID,Product_ID,Category,Region,Holiday,Promotion,Weather,Temperature,Fuel_Price,CPI,Unemployment,Inventory,Price,Competitor_Price,Discount,Customers,Sales
2023-01-01,41,1029,Electronics,East,0,0,Sunny,32.1,107.07,287.06,3.78,452,111.98,102.88,14,278,27
2023-01-02,46,1167,Sports,West,0,1,Cloudy,18.3,114.77,271.06,4.44,452,713.49,664.33,48,192,54
2023-01-03,7,1024,Furniture,North,1,1,Cloudy,17.9,81.74,235.13,4.12,964,788.14,796.34,40,336,146
2023-01-04,13,1181,Electronics,North,0,1,Sunny,35.7,114.66,225.62,7.08,874,761.42,741.65,13,363,135
2023-01-05,18,1180,Sports,North,0,0,Sunny,23.9,90.8,291.05,9.19,244,1385.0,1479.97,49,48,0
2023-01-06,21,1103,Clothing,North,0,1,Sunny,29.7,95.83,289.75,7.13,291,322.28,338.07,34,154,53
2023-01-07,48,1150,Furniture,West,1,0,Sunny,25.3,83.64,185.65,3.99,662,361.96,375.03,38,52,0
2023-01-08,30,1136,Clothing,North,0,1,Cloudy,20.2,91.74,198.98,3.03,759,1757.91,1674.72,32,410,163
2023-01-09,12,1130,Electronics,East,0,0,Rainy,32.9,101.58,273.44,7.77,20,1217.94,1215.16,7,495,53
2023-01-10,20,1062,Electronics,South,0,0,Cloudy,24.6,82.77,271.27,9.89,151,1336.51,1455.95,10,155,42
2023-01-11,34,1156,Furniture,South,0,1,Rainy,39.9,106.0,232.57,7.66,143,533.42,486.91,1,321,115
2023-01-12,1,1019,Sports,North,0,0,Sunny,35.8,82.83,208.56,9.02,239,1101.51,1150.72,36,315,32
2023-01-13,31,1063,Beauty,West,1,0,Sunny,12.9,97.24,230.83,7.2,766,155.63,160.41,41,70,16
2023-01-14,7,1064,Grocery,South,1,0,Rainy,15.5,98.51,284.94,3.68,847,1729.63,1747.04,3,353,75
2023-01-15,35,1004,Electronics,South,0,1,Rainy,24.4,114.59,288.29,4.48,22,1971.35,1878.78,50,421,143
2023-01-16,47,1143,Sports,West,0,0,Rainy,16.5,82.34,268.29,3.55,341,161.47,164.19,32,490,66
2023-01-17,34,1041,Electronics,North,0,0,Cloudy,12.0,114.47,228.45,11.47,603,530.12,540.14,39,61,0
2023-01-18,34,1081,Clothing,South,1,0,Rainy,21.9,106.87,216.0,5.85,789,1874.68,1690.7,39,308,56
2023-01-19,7,1019,Toys,South,1,0,Rainy,36.4,115.17,224.34,4.42,873,1109.28,1065.47,41,290,64
2023-01-20,20,1170,Electronics,South,1,0,Sunny,32.3,86.22,213.81,4.9,371,447.01,459.01,16,278,51
2023-01-21,32,1065,Beauty,North,0,1,Rainy,11.3,93.34,195.7,11.82,185,1495.4,1510.86,27,307,118
2023-01-22,45,1039,Toys,North,1,0,Rainy,13.8,92.33,287.88,10.17,901,127.8,124.17,43,147,16
2023-01-23,43,1027,Clothing,West,0,0,Sunny,39.3,112.43,285.77,3.22,774,1852.75,1957.39,26,430,48
2023-01-24,16,1069,Grocery,North,1,0,Rainy,16.7,112.66,235.24,5.75,834,1749.08,1652.15,42,118,0
2023-01-25,26,1085,Clothing,North,1,1,Cloudy,25.3,107.18,281.24,5.98,48,274.92,300.78,11,317,146
2023-01-26,7,1153,Furniture,East,1,1,Cloudy,39.5,84.63,287.94,4.71,65,1432.13,1289.4,34,371,154
2023-01-27,47,1190,Sports,South,1,1,Sunny,38.5,116.83,254.78,8.97,147,1453.52,1395.47,19,361,148
2023-01-28,19,1142,Grocery,South,1,1,Cloudy,32.4,86.96,248.29,6.65,873,50.79,48.63,27,422,187
2023-01-29,38,1156,Sports,East,1,1,Rainy,30.3,100.45,275.25,11.64,773,380.9,349.27,32,359,145
2023-01-30,49,1061,Sports,East,0,0,Sunny,10.7,89.79,237.02,10.65,94,938.06,1010.5,36,119,0
2023-01-31,46,1179,Furniture,West,1,0,Sunny,29.7,80.22,270.12,9.93,129,1567.92,1479.75,44,285,31
2023-02-01,8,1117,Grocery,West,1,1,Cloudy,34.5,115.68,231.21,11.16,476,1799.56,1887.25,30,250,106
2023-02-02,17,1193,Grocery,East,1,0,Rainy,23.2,108.54,208.14,6.02,934,1103.3,1023.5,14,216,33
2023-02-03,5,1107,Furniture,East,1,1,Sunny,16.2,96.81,288.58,8.26,732,88.09,94.8,36,214,70
2023-02-04,31,1002,Clothing,East,1,1,Cloudy,32.4,101.85,252.39,4.98,244,582.22,580.55,24,192,70
2023-02-05,47,1043,Beauty,West,0,0,Rainy,27.8,106.52,190.07,6.86,907,950.31,864.84,24,187,5
2023-02-06,14,1117,Clothing,East,1,1,Rainy,17.6,83.28,182.33,7.85,994,732.42,754.41,49,353,146
2023-02-07,16,1052,Beauty,North,0,0,Sunny,24.2,84.58,293.73,7.19,282,1545.45,1442.77,38,402,49
2023-02-08,46,1030,Beauty,South,1,0,Cloudy,10.8,92.48,261.28,11.62,426,1885.87,1772.09,37,373,67
2023-02-09,45,1198,Clothing,North,0,1,Cloudy,22.9,94.82,240.72,6.07,889,869.11,867.41,27,205,67
2023-02-10,41,1118,Sports,South,1,0,Cloudy,25.7,106.02,253.91,11.28,813,992.82,980.03,46,323,48
2023-02-11,6,1072,Furniture,South,1,1,Rainy,10.9,114.04,201.82,4.91,836,553.79,529.39,38,379,178
2023-02-12,18,1143,Electronics,South,0,0,Cloudy,22.2,102.21,208.84,7.28,748,1007.1,1066.1,5,170,26
2023-02-13,20,1170,Toys,East,1,1,Rainy,39.9,102.02,222.22,7.08,333,540.24,499.25,12,181,92
2023-02-14,8,1191,Toys,South,0,0,Cloudy,24.5,108.98,297.19,7.72,309,1962.0,2092.52,18,136,9
2023-02-15,46,1137,Grocery,East,0,0,Cloudy,18.8,117.76,256.54,9.78,125,1751.8,1777.75,30,265,37
2023-02-16,29,1088,Grocery,North,1,1,Sunny,34.7,96.03,188.89,8.67,74,345.87,367.39,19,63,27
2023-02-17,49,1107,Toys,South,1,1,Rainy,18.9,103.54,231.46,8.12,81,1238.78,1298.26,48,126,42
2023-02-18,41,1055,Clothing,North,0,0,Sunny,26.6,86.26,229.02,9.2,501,617.96,584.77,45,164,7
2023-02-19,44,1060,Clothing,South,1,0,Cloudy,16.7,85.96,211.88,4.28,81,373.55,359.18,47,442,63
2023-02-20,37,1074,Furniture,North,1,1,Cloudy,22.1,90.89,244.8,6.94,632,127.73,125.99,20,329,142
2023-02-21,44,1148,Toys,North,1,0,Sunny,24.1,106.06,289.93,4.63,619,899.98,956.54,5,260,54
2023-02-22,23,1105,Clothing,East,0,0,Rainy,22.3,99.82,259.51,6.6,798,1122.69,1112.55,20,149,4
2023-02-23,26,1132,Beauty,North,1,1,Sunny,15.6,94.47,270.77,8.63,798,150.64,143.62,8,494,243
2023-02-24,19,1113,Sports,West,0,0,Cloudy,28.3,89.57,199.01,7.96,585,845.58,799.02,7,256,49
2023-02-25,10,1128,Sports,East,1,1,Rainy,39.4,89.75,246.15,6.45,963,1218.79,1278.83,8,462,200
2023-02-26,5,1071,Beauty,West,1,1,Sunny,18.5,91.94,250.43,11.99,521,1737.26,1718.69,30,196,70
2023-02-27,25,1117,Clothing,South,0,1,Sunny,35.7,96.43,218.18,7.26,955,1632.25,1595.06,42,425,172
2023-02-28,42,1039,Furniture,North,0,1,Sunny,36.2,97.61,243.11,7.11,759,331.1,355.66,9,58,0
2023-03-01,22,1160,Sports,West,0,1,Cloudy,35.8,95.2,218.0,9.47,797,1001.5,1009.72,39,55,15
2023-03-02,16,1162,Sports,East,0,0,Rainy,39.4,110.41,264.47,3.9,190,1403.3,1516.52,2,186,29
2023-03-03,24,1111,Grocery,South,1,0,Sunny,15.3,104.38,225.91,9.15,529,1830.02,1699.4,29,346,52
2023-03-04,17,1118,Clothing,North,1,1,Cloudy,26.4,82.95,293.43,11.89,326,1295.93,1276.31,16,253,112
2023-03-05,25,1124,Electronics,South,1,1,Cloudy,18.9,107.97,182.63,10.47,425,585.24,592.96,43,418,169
2023-03-06,48,1013,Toys,West,1,0,Cloudy,34.1,88.76,202.82,5.26,793,1455.81,1502.16,8,341,77
2023-03-07,3,1080,Beauty,West,0,1,Cloudy,13.9,116.39,219.21,6.74,225,307.71,310.14,23,291,117
2023-03-08,33,1070,Beauty,South,1,1,Rainy,32.4,93.55,193.82,11.67,164,1520.6,1437.15,43,390,157
2023-03-09,36,1094,Electronics,West,0,1,Cloudy,13.7,94.74,269.88,5.36,410,1653.71,1799.33,6,365,135
2023-03-10,15,1121,Electronics,East,0,0,Cloudy,34.7,116.38,216.26,6.67,163,138.43,125.62,31,79,19
2023-03-11,9,1100,Furniture,East,1,0,Rainy,29.6,113.35,253.88,11.45,306,113.8,110.85,28,247,52
2023-03-12,16,1093,Electronics,East,1,0,Rainy,18.3,118.73,293.88,10.42,113,1342.4,1380.44,38,30,3
2023-03-13,9,1145,Grocery,North,0,0,Sunny,19.9,85.9,288.06,3.03,899,1968.85,2160.82,34,148,14
2023-03-14,12,1029,Sports,North,0,0,Rainy,33.7,89.52,218.85,4.57,73,297.18,292.48,7,401,68
2023-03-15,24,1132,Toys,North,1,0,Cloudy,11.3,111.33,284.04,7.69,489,1304.51,1182.19,30,453,85
2023-03-16,26,1110,Sports,North,1,1,Sunny,37.0,92.88,197.8,4.14,659,1284.5,1296.92,20,215,103
2023-03-17,30,1130,Toys,West,0,0,Cloudy,29.5,110.76,266.5,4.94,482,1781.78,1751.07,29,224,24
2023-03-18,27,1187,Electronics,East,1,1,Cloudy,17.6,118.14,262.42,7.27,113,1671.96,1535.94,6,401,177
2023-03-19,36,1016,Toys,East,0,1,Rainy,36.2,117.65,230.75,11.24,72,1938.38,1977.31,22,73,4
2023-03-20,37,1130,Grocery,South,1,0,Sunny,20.5,102.25,193.79,5.51,251,1624.08,1736.19,49,439,62
2023-03-21,36,1007,Toys,East,0,0,Rainy,31.1,92.36,220.78,3.05,910,329.34,339.7,4,92,2
2023-03-22,48,1163,Electronics,North,0,1,Rainy,23.6,86.3,217.4,5.92,984,1156.81,1060.78,3,99,46
2023-03-23,44,1021,Clothing,West,1,1,Cloudy,23.3,90.93,270.59,4.02,460,266.24,275.73,37,269,121
2023-03-24,34,1171,Clothing,North,0,1,Cloudy,11.6,88.18,293.44,9.91,802,548.26,529.41,0,274,109
2023-03-25,25,1137,Sports,South,1,0,Rainy,35.9,81.69,182.25,11.29,902,660.47,651.13,25,383,62
2023-03-26,41,1107,Clothing,North,1,0,Rainy,15.2,117.9,235.21,9.21,390,221.85,237.13,15,243,33
2023-03-27,26,1080,Sports,East,0,1,Sunny,12.3,105.33,243.67,4.75,814,731.28,764.54,41,437,156
2023-03-28,10,1061,Electronics,South,1,0,Sunny,28.1,110.41,258.66,4.59,811,1274.5,1265.31,36,409,57
