Date,Store_ID,Product_ID,Category,Region,Holiday,Promotion,Weather,Temperature,Fuel_Price,CPI,Unemployment,Inventory,Price,Competitor_Price,Discount,Customers,Sales,Year,Month,Day,Week,Quarter,Day_Name,Month_Name,Weekend,Season,Inventory_Per_Customer,Price_Difference,Discount_Amount,Final_Price,Sales_Per_Customer,Promotion_Impact
2023-01-01,41,1029,2,0,0,0,2,32.1,107.07,287.06,3.78,452,111.98,102.88,14,278,27,2023,1,1,52,1,3,4,1,3,1.6200716845878136,9.100000000000009,15.677200000000001,96.3028,0.0967741935483871,0
2023-01-02,46,1167,5,3,0,1,0,18.3,114.77,271.06,4.44,452,713.49,664.33,48,192,54,2023,1,2,1,1,1,4,0,3,2.3419689119170983,49.15999999999997,342.47520000000003,371.0148,0.27979274611398963,48
2023-01-03,7,1024,3,1,1,1,0,17.9,81.74,235.13,4.12,964,788.14,796.34,40,336,146,2023,1,3,1,1,5,4,0,3,2.8605341246290803,-8.200000000000045,315.256,472.884,0.4332344213649852,40
2023-01-04,13,1181,2,1,0,1,2,35.7,114.66,225.62,7.08,874,761.42,741.65,13,363,135,2023,1,4,1,1,6,4,0,3,2.401098901098901,19.769999999999982,98.98459999999999,662.4354,0.3708791208791209,13
2023-01-05,18,1180,5,1,0,0,2,23.9,90.8,291.05,9.19,244,1385.0,1479.97,49,48,0,2023,1,5,1,1,4,4,0,3,4.979591836734694,-94.97000000000003,678.65,706.35,0.0,0
2023-01-06,21,1103,1,1,0,1,2,29.7,95.83,289.75,7.13,291,322.28,338.07,34,154,53,2023,1,6,1,1,0,4,0,3,1.8774193548387097,-15.79000000000002,109.57519999999998,212.70479999999998,0.3419354838709677,34
2023-01-08,30,1136,1,1,0,1,0,20.2,91.74,198.98,3.03,759,1757.91,1674.72,32,410,163,2023,1,8,1,1,3,4,1,3,1.8467153284671534,83.19000000000005,562.5312,1195.3788,0.39659367396593675,32
2023-01-09,12,1130,2,0,0,0,1,32.9,101.58,273.44,7.77,20,1217.94,1215.16,7,495,53,2023,1,9,2,1,1,4,0,3,0.04032258064516129,2.7799999999999727,85.2558,1132.6842000000001,0.10685483870967742,0
2023-01-10,20,1062,2,2,0,0,0,24.6,82.77,271.27,9.89,151,1336.51,1455.95,10,155,42,2023,1,10,2,1,5,4,0,3,0.967948717948718,-119.44000000000005,133.651,1202.859,0.2692307692307692,0
2023-01-11,34,1156,3,2,0,1,1,39.9,106.0,232.57,7.66,143,533.42,486.91,1,321,115,2023,1,11,2,1,6,4,0,3,0.4440993788819876,46.509999999999934,5.334199999999999,528.0858,0.35714285714285715,1
2023-01-12,1,1019,5,1,0,0,2,35.8,82.83,208.56,9.02,239,1101.51,1150.72,36,315,32,2023,1,12,2,1,4,4,0,3,0.7563291139240507,-49.210000000000036,396.5436,704.9664,0.10126582278481013,0
2023-01-14,7,1064,4,2,1,0,1,15.5,98.51,284.94,3.68,847,1729.63,1747.04,3,353,75,2023,1,14,2,1,2,4,1,3,2.3926553672316384,-17.409999999999854,51.88890000000001,1677.7411000000002,0.211864406779661,0
2023-01-16,47,1143,5,3,0,0,1,16.5,82.34,268.29,3.55,341,161.47,164.19,32,490,66,2023,1,16,3,1,1,4,0,3,0.6945010183299389,-2.719999999999999,51.6704,109.7996,0.13441955193482688,0
2023-01-19,7,1019,6,2,1,0,1,36.4,115.17,224.34,4.42,873,1109.28,1065.47,41,290,64,2023,1,19,3,1,4,4,0,3,3.0,43.809999999999945,454.80479999999994,654.4752000000001,0.21993127147766323,0
2023-01-20,20,1170,2,2,1,0,2,32.3,86.22,213.81,4.9,371,447.01,459.01,16,278,51,2023,1,20,3,1,0,4,0,3,1.3297491039426523,-12.0,71.52159999999999,375.4884,0.1827956989247312,0
2023-01-21,32,1065,0,1,0,1,1,11.3,93.34,195.7,11.82,185,1495.4,1510.86,27,307,118,2023,1,21,3,1,2,4,1,3,0.6006493506493507,-15.459999999999809,403.75800000000004,1091.642,0.38311688311688313,27
