iter	RMSE
0	52.04995335
1	49.80367364
2	47.64660369
3	45.57364168
4	43.70788364
5	41.87298876
6	40.09162583
7	38.39736267
8	36.79824826
9	35.30784929
10	33.82620181
11	32.46415912	31.29582425
13	30.05531277
14	28.9284143
15	27.76585808
16	16	26.80551817	17	25.8003718	218	24.7884119	23.8887047
20	2320	23.050921	2221	22.284022	2122	21.518123	2023	20.822524	2024	20.134825	19.44922768
26	126	18.8527427	127	18.2731528	128	17.7242429	129	17.1987530	16.71296518
31	31	16.2751243232	15.845976633	15.3989294
34	34	15.0477983535	14.6894159336	14.3679736
37	14.09179102
38	13.74386006
39	13.44638838
40	13.18397992
41	12.93028753
42	12.70836103
43	12.48212357
44	12.27689276445	12.08692277446	11.9267304847	11.83290335
48	11.6895282
49	11.54053915
5050	11.33670635151	11.21972905252	11.09631715353	10.98394016
54	10.88630573
55	10.80260182
56	10.71063036
57	10.63385704
58	10.54633251
59	10.47502753
60	10.40837652
61	10.33727104
62	10.27838706
63	10.23360385
64	10.18348367
65	10.13262957
66	10.09212451
67	167	10.01642928
68	9.972071203
69	9.928506748
70	9.898025901
71	9.865903073
72	9.835462912
73	9.802507599
74	9.770764414
75	9.743581018
76	9.716259061
77	9.693690972
78	9.666546217
79	9.64226032
80	9.622070054
81	9.600679463
82	9.577092882
83	9.557903804
84	9.538038009
85	9.520252304
86	9.504491634
87	9.485516997
88	9.472339647
89	9.457296908
90	9.441080327
91	9.427196541
92	9.413615635
93	9.39304128
94	9.378267254
95	9.366117441
96	9.352275471
97	998	9.395482208
99	9.383859837
100	9.371904253
101	9.361686107
102	9.348413268
103	9.335107773
104	9.325138459
105	9.314117227
106	9.302899514
107	9.290283953
108	9.271915117
109109	9.281997724
110	9.273990769
111	9.262273753
112	9.250183212
113	9.238838479
114	9.228335245
115	9.219725063
116	9.20536231
117	9.197734194
118	9.187392486
119	9.178517438
120	9.168139491
121	9.16026848
122	9.149516436
123	9.140121808
124	9.127621175
125	9.11823184
126	9.110709412
127	9.10258152
128	9.094270412
129	9.083611519
130	9.075662143
131	9.058875842
132	9.048909813
133	9.040805923
134	9.03286146
135	9.023041599
136	9.012716819
137	9.005734068
138	8.995619553
139	8.986261879
140	8.975391573
141	8.964021092
142	8.958872363
143	8.949033706
144	8.943656553
145	8.935416128
146	8.926581641
147	8.920180261
148	8.911184855
149	8.903523932
150	8.892416351
151	8.884513323
152	8.876954003
153	8.867946852
154	8.855250072
155	8.847665206
156	8.841149583
157	8.832171855
158	8.82368103
159	8.817026185
160	8.811486458
161	8.803676786
162	8.79520227
163	8.785594894
164	8.776964374
165	8.770578464
166	8.760840067
167	8.753120272
168	8.741372581
169	8.734703917
170	8.727866205
171	8.720573207
172	8.711184816
173	8.702693524
174	8.693621756
175	8.68422182
176	8.677554378
177	8.67099499
178	8.664490971
179	8.655660219
180	8.649399733
181	8.643507466
182	8.635677308
183	8.630196306
184	8.621602203
185	8.610871232
186	8.603689693
187	8.59364106
188	8.586027269
189	8.57860636
190	8.570601347
191	8.561503145
192	8.552082196
193	8.546383162
194	8.536101568
195	8.530979987
196	8.523705359
197	8.513960412
198	8.509104362
199	8.502982008
200	8.493689239
201	8.487841296
202	8.477527157
203	8.4733345
204	8.46150384
205	8.454926051
206	8.44844482
207	8.441132477
208	8.436827114
209	8.430505847
210	8.424203669
211	8.418086567
212	8.409719913
213	8.404900406
214	8.399703562
215	8.392613078
216	8.384611046
217	8.37908662
218	8.369962559
219	8.361507868
220	8.353928328
221	8.346639474
222	8.339958647
223	8.328148533
224	8.320319552
225	8.316289274
226	8.306696294
227	8.303012149
228	8.293231374
229	8.284823795
230	8.272492906
231	8.266801235
232	8.255066669
233	8.245643268
234	8.239069683
235	8.232454356
236	8.221388704
237	8.213401479
238	8.207504552
239	8.197875097
240	8.191745695
241	8.184832815
242	8.176098904
243	8.172713086
244	8.164299088
245	8.15402429
246	8.146221521
247	8.136034477
248	8.127902947
249	8.118665203
250	8.108118149
251	8.095683515
252	8.085198035
253	8.077460052
254	8.069773989
255	8.062341875
256	8.055075125
257	8.045326108
258	8.038013487
259	8.032602793
260	8.026761396
261	8.021308644
262	8.013571213
263	8.006358774
264	7.997809737
265	7.990958332
266	7.985570642
267	7.978566615
268	7.972314099
269	7.966305183
270	7.957926157
271	7.95370333
272	7.946340061
273	7.936293602
274	7.926544273
275	7.919785219
276	7.912362698
277	7.90094099
278	7.896039297
279	7.889984605
280	7.885177747
281	7.878204728
282	7.868764289
283	7.864767414
284	7.860335225
285	7.850575457
286	7.84601795
287	7.8387239
288	7.832645354
289	7.825195199
290	7.817890894
291	7.811920396
292	7.805213492
293	7.796369067
294	7.786800946
295	7.780089345
296	7.774716217
297	7.769409551
298	7.762928085
299	7.753703908
300	7.746961418
301	7.74319646
302	7.734127859
303	7.725152477
304	7.719449891
305	7.710527433
306	7.703695379
307	7.696016
308	7.685043921
309	7.678533044
310	7.673304617
311	7.667156508
312	7.661176183
313	7.657234942
314	7.648499779
315	7.639773555
316	7.633382391
317	7.627556774
318	7.619179229
319	7.614451017
320	7.608985838
321	7.5978547
322	7.588639147
323	7.580341195
324	7.573887739
325	7.57074569
326	7.56112781
327	7.553267505
328	7.548946265
329	7.543401269
330	7.539473487
331	7.533768753
332	7.527496357
333	7.520155416
334	7.514807181
335	7.509117043
336	7.504541941
337	7.498066915
338	7.491289021
339	7.484602363
340	7.480566056
341	7.476195154
342	7.46918257
343	7.46246962
344	7.452445192
345	7.447391179
346	7.439751558
347	7.435263601
348	7.426504781
349	7.421033879
350	7.413255452
351	7.406727662
352	7.400997596
353	7.395211685
354	7.389383957
355	7.384056331
356	7.376209134
357	7.371171861
358	7.363309773
359	7.358980961
360	7.354461145
361	7.346502069
362	7.337739457
363	7.328362735
364	7.321794254
365	7.315020936
366	7.307841504
367	7.297441552
368	7.291446251
369	7.283842994
370	7.276910123
371	7.273129162
372	7.263766528
373	7.257276856
374	7.250741043
375	7.244082712
376	7.236591027
377	7.227161549
378	7.221634935
379	7.214196747
380	7.207803418
381	7.200048856
382	7.194889796
383	7.185440557
384	7.1814641
385	7.176640686
386	7.169017342
387	7.16356542
388	7.156215102
389	7.151583364
390	7.145045091
391	7.140074076
392	7.1340708
393	7.127441457
394	7.121692518
395	7.118248336
396	7.111338861
397	7.10557128
398	7.10050097
399	7.09532321
400	7.090597126
401	7.084744789
402	7.080264441
403	7.075293569
404	7.070756742
405	7.062682857
406	7.056155365
407	7.048681008
408	7.041101054
409	7.033694175
410	7.030159781
411	7.026592814
412	7.018839603
413	7.014937928
414	7.005297805
415	6.998653869
416	6.992986912
417	6.988271092
418	6.98327655
419	6.976723367
420	6.971076817
421	6.966631485
422	6.961112043
423	6.954248482
424	6.945951634
425	6.939720509
426	6.932550341
427	6.925171025
428	6.919104652
429	6.912115867
430	6.908910686
431	6.905484341
432	6.899604506
433	6.892190477
434	6.884550257
435	6.875332013
436	6.868253082
437	6.863316842
438	6.85818117
439	6.854539888
440	6.847806396
441	6.843886681
442	6.838467143
443	6.833623546
444	6.8292032
445	6.824570322
446	6.819479348
447	6.81424612
448	6.807150566
449	6.801592948
450	6.795584091
451	6.790656236
452	6.786470798
453	6.780868712
454	6.774457671
455	6.76643829
456	6.760276229
457	6.756132293
458	6.752342198
459	6.747041477
460	6.740787573
461	6.736204695
462	6.731433432
463	6.72682
464	6.722047818
465	6.718028668
466	6.713807335
467	6.706218674
468	6.699587979
469	6.693429065
470	6.687779451
471	6.679853628
472	6.675554286
473	6.668744492
474	6.662435317
475	6.654495997
476	6.649017095
477	6.644708754
478	6.63530389
479	6.628802047
480	6.624009518
481	6.617215728
482	6.611729311
483	6.605825616
484	6.602760845
485	6.598069348
486	6.593274008
487	6.587458191
488	6.583927031
489	6.579394831
490	6.574358141
491	6.568759424
492	6.564934146
493	6.559531462
494	6.556480887
495	6.550049128
496	6.543744711
497	6.5387496
498	6.534985385
499	6.530327978
645901432
499	6.64130461
