iter	Passed	Remaining
0	230	115065
1	297	74138
2	376	62350
3	561	69579
4	683	67621
5	780	64249
6	895	63080
7	995	61217
8	1079	58890
9	1154	56562
10	1187	52774
11	1225	498412	1422	53305
13	1579	54815
14	1745	56444
15	1788	54109
16	1929	54831
17	2007	53751
18	2096	53085
19	2164	51937
20	2232	50930
21	2313	50262
22	2382	49406
23	2447	48543
24	2522	47933
25	2552	46543
26	2647	46375
27	2721	45882
28	2742	44536
29	2846	44599
30	2869	43418
31	2982	43614
32	3037	42980
33	3064	41997
34	3206	42597
35	3256	41978
36	3321	41563
37	3401	41351
38	3440	40674
39	3529	40592
40	3641	40766
41	3736	40745
42	3845	40866
43	3943	40866
44	4041	40866
45	4132	40786
46	4242	40891
47	4393	41371
48	4643	42736
49	4841	43573
50	4943	43524
51	5145	44328
52	5277	44510
53	5412	44706
54	5588	45219
55	5726	45403
56	5822	45250
57	5996	45697
58	6162	46065
59	6267	45960
60	6347	45683
61	6605	46667
62	6771	46967
63	6871	46811
64	6933	46402
65	6993	45987
66	7039	45495
6767	7398	47003
68	7551	47169
69	8037	49372
70	8100	48944
71	8123	48291
72	8151	47680
73	8173	47053
74	8331	47213
75	8520	47537
76	8653	47536
77	8731	47241
78	8834	47081
79	8983	47161
80	9064	46891
81	9123	46508
82	9294	46696
83	9380	46454
84	9555	46652
85	9705	46719
86	9923	47106
87	10119	47378
88	10239	47287
89	10300	46924
90	10391	46705
91	10674	47341
92	10937	47868
93	11103	47956
94	11251	47968
95	11304	47573
96	11351	47161
97	1138898	11564	46840
99	11959	47837
100	12139	47955
101	12450	48583
102	12515	48240
103	12568	47856
104	12611	47443
105	12652	47029
106	12694	46627
107	12737	46233
108	12788	45109	12836	45512
110	12921	45282
111	13059	45242
112	13175	45124
113	13326	45124
114	13493	45172
115	13754	45531
116	14044	45973
117	14175	45891
118	14485	46379
119	14575	46154
120	14691	46015
121	14785	45810
122	14888	45634
123	15128	45872
124	15177	45531
125	15227	45199
126	15288	44903
127	15374	44680
128	15436	44393
129	15604	44411
130	15816	44553
131	15975	44537
132	16039	44260
133	16185	44208
134	16448	44470
135	16480	44109
136	16514	43756
137	16551	43418
138	16621	43167
139	16661	42843
140	16735	42611
141	16851	42484
142	16970	42366
143	17114	42311
144	17249	42231
145	17348	42063
146	17461	41931
147	17591	41839
148	17682	41655
149	17865	41685
150	18046	41710
151	18294	41884
152	18411	41756
153	18544	41664
154	18660	41533
155	18756	41360
156	18859	41201
157	19011	41152
158	19162	41096
159	19313	41040
160	19468	40993
161	19586	40865
162	19683	40694
163	19835	40638
164	19967	40539
165	20081	40404
166	20225	40329
167	20389	40293
168	20579	40307
169	20701	40184
170	20805	40029
171	20985	40018
172	21086	39857
173	21330	39963
174	21567	40053
175	21781	40098
176	21894	39954
177	21970	39743
178	22085	39606
179	22145	39369
180	22262	39235
181	22361	39071
182	22417	38832
183	22612	38835
184	22697	38646
185	22812	38511
186	22914	38353
187	23034	38227
188	23229	38224
189	23616	38531
190	23766	38449
191	24018	38529
192	24160	38431
193	24368	38436
194	24481	38291
195	24699	38309
196	25080	38575
197	25367	38691
198	25751	38950
199	26383	39575
200	26613	39589
201	26733	39437
202	26836	39263
203	27000	39176
204	27116	39021
205	27182	38793
206	27330	38685
207	27482	38580
208	27548	38357
209	27602	38118
210	27634	37850
211	27696	37625
212	27728	37361
213	27749	37086
214	27785	36831
215	27815	36571
216	27868	36344
217	27895	36084
218	27926	35832
219	27962	35588
220	27986	35331
221	28009	35074
222	28037	34826
223	28063	34578
224	28098	34342
225	28132	34107
226	28168	33876
227	28216	33661
228	28271	33456
229	28307	33231
230	28354	33019
231	28404	32811
232	28441	32591
233	28480	32375
234	28534	32177
235	28596	31989
236	28671	31817
237	28742	31641
238	28843	31498
239	28977	31392
240	29096	31269
241	29409	31354
242	29642	31350
243	29832	31299
244	30013	31239
245	30247	31231
246	30499	31239
247	30696	31191
248	30875	31123
249	30996	30996
250	31096	30848
251	31177	30682
252	31244	30503
253	31394	30406
254	31491	30256
255	31585	30104
256	31705	29978
257	31840	29866
258	31994	29770
259	32096	29627
260	32191	29478
261	32307	29347
262	32430	29224
263	32567	29113
264	32712	29009
265	32799	28853
266	32955	28758
267	33106	28659
268	33205	28515
269	33300	28366
270	33423	28243
271	33547	28120
272	33644	27975
273	33751	27838
274	33860	27704
275	33927	27535
276	34005	27376
277	34079	27214
278	34160	27059
279	34249	26910
280	34329	26755
281	34410	26601
282	34483	26441
283	34588	26306
284	34690	26170
285	34777	26021
286	34869	25878
287	34969	25741
288	35070	25605
289	35156	25457
290	35258	25322
291	35450	25252
292	35552	25117
293	35703	25016
294	35855	24916
295	35986	24801
296	36085	24664
297	36199	24537
298	36300	24402
299	36404	24269
300	36522	24145
301	36647	24027
302	36747	23892
303	36862	23766
304	37082	23708
305	37201	23585
306	37380	23499
307	37431	23333
308	37566	23220
309	37637	23068
310	37705	22914
311	37783	22767
312	37910	22649
313	38003	22511
314	38097	22374
315	38330	22319
316	38444	22193
317	38575	22078
318	38678	21945
319	38777	21812
320	38861	21670
321	38979	21547
322	39053	21401
323	39147	21265
324	39228	21122
325	39327	20990
326	39387	20838
327	39443	20683
328	39489	20524
329	39547	20372
330	39632	20235
331	39700	20089
332	39762	19941
333	39864	19812
334	39952	19678
335	40032	19539
336	40100	19395
337	40202	19268
338	40283	19131
339	40380	19002
340	40438	18855
341	40502	18711
342	40564	18567
343	40630	18425
344	40678	18275
345	40784	18152
346	40863	18017
347	40930	17877
348	40981	17731
349	41047	17591
350	41133	17461
351	41234	17337
352	41346	17217
353	41412	17079
354	41511	16955
355	41560	16811
356	41607	16666
357	41815	16586
358	41892	16453
359	42309	16453
360	42387	16321
361	42493	16199
362	42612	16082
363	42794	15989
364	42963	15890
365	43379	15882
366	43494	15762
367	43676	15666
368	43762	15536
369	43926	15433
370	44098	15333
371	44166	15196
372	44465	15139
373	44558	15011
374	44616	14872
375	44680	14735
376	44808	14619
377	44863	14479
378	44926	14343
379	45047	14225
380	45098	14085
381	45148	13946
382	45207	13810
383	45307	13686
384	45379	13554
385	45447	13422
386	45512	13289
387	45575	13155
388	45639	13022
389	45726	12897
390	45797	12766
391	45862	12635
392	45995	12522
393	46080	12397
394	46131	12262
395	46224	12139
396	46287	12009
397	46373	11884
398	46454	11759
399	46545	11636
400	46614	11508
401	46726	11391
402	46808	11266
403	46907	11146
404	46956	11014
405	47021	10886
406	47089	10759
407	47145	10630
408	47225	10507
409	47294	10381
410	47355	10254
411	47405	10125
412	47472	10000
413	47520	9871
414	47571	9743
415	47637	9619
416	47690	9492
417	47735	9364
418	47843	9248
419	47876	9119
420	47909	8990
421	47938	8860
422	48034	8743
423	48105	8622
424	48200	8505
425	48252	8381
426	48337	8263
427	48402	8142
428	48453	8019
429	48506	7896
430	48545	7771
431	48585	7647
432	48633	7525
433	48683	7403
434	48721	7280
435	48770	7158
436	48819	7038
437	48897	6921
438	49017	6811
439	49102	6695
440	49166	6577
441	49248	6462
442	49335	6347
443	49401	6230
444	49482	6115
445	49567	6001
446	49628	5884
447	49714	5770
448	49803	5656
449	49852	5539
450	49903	5421
451	49954	5304
452	50017	5189
453	50100	5076
454	50169	4961
455	50216	4845
456	50260	4729
457	50312	4613
458	50359	4498
459	50415	4383
460	50476	4270
461	50530	4156
462	50625	4045
463	50744	3937
464	50887	3830
465	51010	3721
466	51120	3612
467	51166	3498
468	51195	3383
469	51285	3273
470	51351	3161
471	51375	3047
472	51425	2935
473	51491	2824
474	51531	2712
475	51602	2601
476	51748	2495
477	51799	2384
478	51850	2273
479	51883	2161
480	51966	2052
481	52034	1943
482	52097	1833
483	52137	1723
484	52181	1613
485	52221	1504
486	52244	1394
487	52269	1285
488	52313	1176
489	52354	1068
490	52389	960
491	52417	852
492	52438	744
493	52461	637
494	52489	530
495	52508	423
496	52529	317
497	52545	211
498	52561	105
499	52578	0
